time,posNED_1,posNED_2,posNED_3,track_deg
0,0,50,-10,270
0.05,0,49.7,-10,270
0.1,0,49.4,-10,270
0.15,0,49.1,-10,270
0.2,0,48.8,-10,270
0.25,0,48.5,-10,270
0.3,0,48.2,-10,270
0.35,0,47.9,-10,270
0.4,0,47.6,-10,270
0.45,0,47.3,-10,270
0.5,0,47,-10,270
0.55,0,46.7,-10,270
0.6,0,46.4,-10,270
0.65,0,46.1,-10,270
0.7,0,45.8,-10,270
0.75,0,45.5,-10,270
0.8,0,45.2,-10,270
0.85,0,44.9,-10,270
0.9,0,44.6,-10,270
0.95,0,44.3,-10,270
1,0,44,-10,270
1.05,0,43.7,-10,270
1.1,0,43.4,-10,270
1.15,0,43.1,-10,270
1.2,0,42.8,-10,270
1.25,0,42.5,-10,270
1.3,0,42.2,-10,270
1.35,0,41.9,-10,270
1.4,0,41.6,-10,270
1.45,0,41.3,-10,270
1.5,0,41,-10,270
1.55,0,40.7,-10,270
1.6,0,40.4,-10,270
1.65,0,40.1,-10,270
1.7,0,39.8,-10,270
1.75,0,39.5,-10,270
1.8,0,39.2,-10,270
1.85,0,38.9,-10,270
1.9,0,38.6,-10,270
1.95,0,38.3,-10,270
2,0,38,-10,270
2.05,0,37.7,-10,270
2.1,0,37.4,-10,270
2.15,0,37.1,-10,270
2.2,0,36.8,-10,270
2.25,0,36.5,-10,270
2.3,0,36.2,-10,270
2.35,0,35.9,-10,270
2.4,0,35.6,-10,270
2.45,0,35.3,-10,270
2.5,0,35,-10,270
2.55,0,34.7,-10,270
2.6,0,34.4,-10,270
2.65,0,34.1,-10,270
2.7,0,33.8,-10,270
2.75,0,33.5,-10,270
2.8,0,33.2,-10,270
2.85,0,32.9,-10,270
2.9,0,32.6,-10,270
2.95,0,32.3,-10,270
3,0,32,-10,270
3.05,0,31.7,-10,270
3.1,0,31.4,-10,270
3.15,0,31.1,-10,270
3.2,0,30.8,-10,270
3.25,0,30.5,-10,270
3.3,0,30.2,-10,270
3.35,0,29.9,-10,270
3.4,0,29.6,-10,270
3.45,0,29.3,-10,270
3.5,0,29,-10,270
3.55,0,28.7,-10,270
3.6,0,28.4,-10,270
3.65,0,28.1,-10,270
3.7,0,27.8,-10,270
3.75,0,27.5,-10,270
3.8,0,27.2,-10,270
3.85,0,26.9,-10,270
3.9,0,26.6,-10,270
3.95,0,26.3,-10,270
4,0,26,-10,270
4.05,0,25.7,-10,270
4.1,0,25.4,-10,270
4.15,0,25.1,-10,270
4.2,0,24.8,-10,270
4.25,0,24.5,-10,270
4.3,0,24.2,-10,270
4.35,0,23.9,-10,270
4.4,0,23.6,-10,270
4.45,0,23.3,-10,270
4.5,0,23,-10,270
4.55,0,22.7,-10,270
4.6,0,22.4,-10,270
4.65,0,22.1,-10,270
4.7,0,21.8,-10,270
4.75,0,21.5,-10,270
4.8,0,21.2,-10,270
4.85,0,20.9,-10,270
4.9,0,20.6,-10,270
4.95,0,20.3,-10,270
5,0,20,-10,270
5.05,0,19.7,-10,270
5.1,0,19.4,-10,270
5.15,0,19.1,-10,270
5.2,0,18.8,-10,270
5.25,0,18.5,-10,270
5.3,0,18.2,-10,270
5.35,0,17.9,-10,270
